"","s1"
"(Intercept)",2.52201281242551
"sales_mil_log",0
"sales_mil_log_sq",-0.470826659039385
"total_assets_bs",-0.0379872142480578
"fixed_assets_bs",0
"liq_assets_bs",-0.0132703945305129
"curr_assets_bs",0.00266809208724945
"share_eq_bs",-0.0654567852539792
"subscribed_cap_bs",0.0343226030857613
"intang_assets_bs",-0.0424977629646417
"extra_exp_pl",-0.00703710798996461
"extra_inc_pl",0
"extra_profit_loss_pl",-0.00872204365492558
"inc_bef_tax_pl",0.0790387925430177
"inventories_pl",-0.088219514478186
"material_exp_pl",-0.0116531492865807
"profit_loss_year_pl",-0.046629273129275
"personnel_exp_pl",0.153101315689825
"extra_profit_loss_pl_quad",0.0204522340932575
"inc_bef_tax_pl_quad",0
"profit_loss_year_pl_quad",-0.09967063474138
"share_eq_bs_quad",0.0999409852718554
"extra_profit_loss_pl_flag_low",0
"inc_bef_tax_pl_flag_low",0
"profit_loss_year_pl_flag_low",0.000425554368553288
"share_eq_bs_flag_low",0
"extra_exp_pl_flag_high",-0.0183924615558932
"extra_inc_pl_flag_high",0
"inventories_pl_flag_high",-0.0240928532380732
"material_exp_pl_flag_high",-0.113759611789944
"personnel_exp_pl_flag_high",-0.0463633194009657
"curr_liab_bs_flag_high",-0.0133327629640019
"liq_assets_bs_flag_high",0.0384341766743172
"subscribed_cap_bs_flag_high",-0.0540242127686074
"extra_profit_loss_pl_flag_high",-0.0343097100105407
"inc_bef_tax_pl_flag_high",-0.010991087401942
"profit_loss_year_pl_flag_high",0
"share_eq_bs_flag_high",-0.0568076272855567
"extra_exp_pl_flag_error",0
"extra_inc_pl_flag_error",0.0147271235788256
"inventories_pl_flag_error",0.00220141550223431
"material_exp_pl_flag_error",0.0115237068054653
"personnel_exp_pl_flag_error",0.0243550277680696
"curr_liab_bs_flag_error",-0.027241795512125
"liq_assets_bs_flag_error",-0.0184970185797857
"extra_profit_loss_pl_flag_zero",0.0188892451282396
"inc_bef_tax_pl_flag_zero",-0.0143628778278438
"profit_loss_year_pl_flag_zero",-0.0337933010612882
"share_eq_bs_flag_zero",0.00224306094157237
"d1_sales_mil_log_mod",0.142108472502962
"d1_sales_mil_log_mod_sq",-0.255649334646884
"flag_low_d1_sales_mil_log",0.0336076552720375
"flag_high_d1_sales_mil_log",-0.0175991388169144
"female",0
"ceo_age",0.147519583617568
"flag_high_ceo_age",0
"flag_low_ceo_age",0.00449182878885139
"flag_miss_ceo_age",-0.00476770184149866
"ceo_count",-0.0652796533137356
"labor_avg_mod",0.167431579677003
"flag_miss_labor_avg",0.0412488500845723
"foreign_management",-0.0941139024272676
"age",0
"age2",0.141302041777159
"new",-0.391051354431567
"ind2_cat",0.379796156390174
"m_region_locEast",0.00201969470815511
"m_region_locWest",0.021597203644456
"urban_m",-0.141254852210748
"age:ind2_cat",0
"age2:ind2_cat",0.000527510085740104
"d1_sales_mil_log_mod:ind2_cat",-0.062479264592988
"sales_mil_log:ind2_cat",0.450050784471343
"ceo_age:ind2_cat",0
"foreign_management:ind2_cat",0.0737288917591449
"female:ind2_cat",0.0516105902491737
"ind2_cat:urban_m",0.237994825738646
"labor_avg_mod:ind2_cat",-0.0633862695060566
"sales_mil_log:age",-0.157129600403935
"sales_mil_log:female",0
"sales_mil_log:profit_loss_year_pl",0.0385356593202032
"sales_mil_log:foreign_management",0.0282436719390587
